,,,,
0.2,ULV,2.18%,,1.93%
0.2,SERP,1.67%,,n/a
0.2,TUN,0.83%,,n/a
0.2,THAM,0.69%,,n/a
0.2,SPO,1.15%,,0.53%
0.2,SPIR,0.54%,,0.31%
0.2,ROCK,1.22%,,0.58%
0.2,RF,3.50%,,1.22%
0.2,RC,3.68%,,1.30%
0.2,PRI,10.13%,,2.29%
0.2,PET,1.70%,,1.17%
0.2,N/A,1.71%,,1.24%
0.2,MIC,5.62%,,1.54%
0.2,LRB,8.97%,,1.91%
0.2,IRI,20.02%,,4.05%
0.2,HAL,0.15%,,n/a
0.2,GIG,2.82%,,1.69%
0.2,EC,5.04%,,0.72%
0.2,BRY,26.54%,,3.03%
0.2,AC,2.27%,,0.89%
0.5,N/A,2.73%,,0.16%
0.5,GIG,0.21%,,0.18%
0.5,TUN,0.03%,,0.03%
0.5,MAS,0.99%,,0.67%
0.5,MIC,8.43%,,2.08%
0.5,GC,0.22%,,0.22%
0.5,ULV,0.07%,,0.05%
0.5,PET,2.04%,,1.00%
0.5,THAM,0.18%,,0.18%
0.5,BAL,0.29%,,0.29%
0.5,NOR,0.44%,,0.44%
0.5,IRI,17.53%,,4.03%
0.5,PRI,20.94%,,3.60%
0.5,BRY,24.90%,,2.24%
0.5,SPO,0.46%,,0.31%
0.5,EC,6.11%,,1.79%
0.5,LRB,3.81%,,1.08%
0.5,AC,1.04%,,0.61%
0.5,RC,9.76%,,2.65%
0.5,RF,3.10%,,1.37%
1,N/A,3.06%,,0.24%
1,MAS,5.86%,,2.20%
1,CLAD,0.03%,,n/a
1,THAM,0.46%,,0.43%
1,SERP,0.03%,,n/a
1,COD,0.03%,,n/a
1,GIG,0.40%,,n/a
1,GC,0.45%,,n/a
1,ELE,0.52%,,0.26%
1,MIC,3.45%,,1.71%
1,MUS,0.11%,,n/a
1,SEMI,0.03%,,n/a
1,PRI,19.10%,,3.69%
1,IRI,8.07%,,2.14%
1,ULV,1.65%,,0.68%
1,PET,3.57%,,2.03%
1,BAL,0.32%,,0.26%
1,BRY,22.39%,,2.95%
1,SPO,1.21%,,0.51%
1,EC,5.07%,,1.64%
1,LRB,5.00%,,0.81%
1,AC,3.26%,,1.49%
1,HAL,0.10%,,0.05%
1,RC,9.69%,,4.43%
1,SAND,0.87%,,n/a
1,RF,6.30%,,1.23%
1,ROCK,3.06%,,0.24%
1.5,N/A,7.34%,,0.29%
1.5,CLAD,5.03%,,1.42%
1.5,LEA,0.27%,,n/a
1.5,IRI,0.27%,,n/a
1.5,NEM,0.80%,,n/a
1.5,SERP,0.03%,,n/a
1.5,MAS,10.46%,,2.62%
1.5,COD,0.59%,,0.49%
1.5,ELE,5.59%,,1.59%
1.5,PRI,3.14%,,1.94%
1.5,GC,0.40%,,0.25%
1.5,MUS,0.03%,,n/a
1.5,SEMI,0.03%,,n/a
1.5,ULV,8.50%,,2.31%
1.5,PET,7.30%,,2.12%
1.5,THAM,1.14%,,0.48%
1.5,BAL,1.02%,,0.81%
1.5,BRY,9.84%,,1.99%
1.5,SPO,2.27%,,0.80%
1.5,EC,1.19%,,0.55%
1.5,LRB,3.12%,,1.41%
1.5,AC,13.50%,,3.68%
1.5,HAL,4.82%,,1.51%
1.5,RC,3.70%,,1.40%
1.5,RF,14.43%,,3.39%
1.5,ROCK,3.67%,,0.14%
2,N/A,3.99%,,0.17%
2,MAS,16.57%,,2.44%
2,PRI,0.29%,,n/a
2,LEA,0.98%,,0.55%
2,NOR,0.26%,,0.19%
2,NEM,0.84%,,0.77%
2,LRB,1.16%,,0.90%
2,COD,0.07%,,0.05%
2,EC,0.86%,,0.62%
2,AC,3.72%,,1.36%
2,ENT,0.56%,,n/a
2,SPO,0.31%,,0.28%
2,BRY,3.00%,,1.93%
2,RF,3.22%,,0.92%
2,ELE,6.61%,,1.48%
2,CLAD,13.02%,,3.17%
2,GC,1.97%,,0.93%
2,RC,4.50%,,1.38%
